"Fahrzeug";"Beleg";"Zeitpunkt";"Buchungsart";"Zahlungsmittel";"Belegtext";"Gesamt";"10%";"20%";"Fahrtkosten";"Trinkgeld";"Umsatz";"Durchläufer";"Taxameterumsatz";"Status";"Bemerkung"
"484 ";" 0858";"24.05.2025 07:23";"Barbeleg";"  ";"Personenfahrt";"60,00";"5,45";;"54,55";;"60,00";;;"SIGNIERT Storniert 24.05.25 07:23";""
"484 ";" 0859";"24.05.2025 07:23";"Storno Barbeleg  0858";"  ";"Personenfahrt";"-60,00";"-5,45";;"-54,55";;"-60,00";;;"SIGNIERT Storniert ";""
"484 ";" 0860";"24.05.2025 07:25";"Pinpad-Zahlung";"Pinpad AMERICAN EXPRESS 809099";"Personenfahrt";"60,00";"5,45";;"54,55";;"60,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0861";"24.05.2025 09:21";"PaymentService-Zahlung";"APP-PAYMENT 4010P1886510";"Personenfahrt";"22,44";"1,85";;"18,55";"2,04";"22,44";;;"SIGNIERT Exportiert ";""
"484 ";" 0862";"25.05.2025 04:00";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0863";"25.05.2025 04:31";"Pinpad-Zahlung";"Pinpad MASTERCARD 109629-313152";"Personenfahrt";"30,00";"2,73";;"27,27";;"30,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0864";"25.05.2025 05:06";"Barbeleg";"  ";"Personenfahrt";"10,90";"0,99";;"9,91";;"10,90";;;"SIGNIERT Gespeichert ";""
"484 ";" 0865";"25.05.2025 05:15";"Barbeleg";"  ";"Personenfahrt";"14,30";"1,30";;"13,00";;"14,30";;;"SIGNIERT Gespeichert ";""
"484 ";" 0866";"25.05.2025 05:52";"Barbeleg";"  ";"Personenfahrt";"45,00";"3,82";;"38,18";"3,00";"45,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0867";"25.05.2025 06:35";"Pinpad-Zahlung";"Pinpad MASTERCARD 387796-127551";"Personenfahrt";"20,90";"1,90";;"19,00";;"20,90";;;"SIGNIERT Exportiert ";""
"4517 ";" 0680";"20.05.2025 15:03";"Pinpad-Zahlung";"Pinpad MasterCard 081496";"Personenfahrt";"25,00";"2,04";;"20,36";"2,60";"25,00";;;"SIGNIERT Exportiert ";""
"4517 ";" 0681";"20.05.2025 16:02";"Barbeleg";"  ";"Personenfahrt";"22,90";"2,08";;"20,82";;"22,90";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0682";"20.05.2025 18:24";"PaymentService-Zahlung";"APP-PAYMENT 4010V1880353";"Personenfahrt";"13,90";"1,26";;"12,64";;"13,90";;;"SIGNIERT Exportiert ";""
"4517 ";" 0683";"20.05.2025 18:28";"Barbeleg";"  ";"Personenfahrt";"22,80";"2,07";;"20,73";;"22,80";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0684";"20.05.2025 20:39";"Pinpad-Zahlung";"Pinpad MasterCard 743757";"Personenfahrt";"20,00";"1,53";;"15,27";"3,20";"20,00";;;"SIGNIERT Exportiert ";""
"4517 ";" 0685";"21.05.2025 11:21";"Pinpad-Zahlung";"Pinpad MasterCard 811168";"Personenfahrt";"16,00";"1,35";;"13,45";"1,20";"16,00";;;"SIGNIERT Exportiert ";""
"4517 ";" 0686";"21.05.2025 13:00";"Pinpad-Zahlung";"Pinpad MasterCard 514588";"Personenfahrt";"19,40";"1,76";;"17,64";;"19,40";;;"SIGNIERT Exportiert ";""
"4517 ";" 0687";"21.05.2025 13:25";"Pinpad-Zahlung";"Pinpad MasterCard 331899";"Personenfahrt";"20,00";"1,69";;"16,91";"1,40";"20,00";;;"SIGNIERT Exportiert ";""
"4517 ";" 0688";"21.05.2025 13:51";"Barbeleg";"  ";"Personenfahrt";"10,40";"0,95";;"9,45";;"10,40";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0689";"21.05.2025 15:36";"Barbeleg";"  ";"Personenfahrt";"21,80";"1,98";;"19,82";;"21,80";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0690";"21.05.2025 17:34";"Barbeleg";"  ";"Personenfahrt";"18,50";"1,68";;"16,82";;"18,50";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0691";"21.05.2025 19:16";"Barbeleg";"  ";"Personenfahrt";"24,20";"2,20";;"22,00";;"24,20";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0692";"21.05.2025 20:11";"PaymentService-Zahlung";"APP-PAYMENT 4010V1882327";"Personenfahrt";"20,58";"1,63";;"16,27";"2,68";"20,58";;;"SIGNIERT Exportiert ";""
"4517 ";" 0693";"21.05.2025 20:38";"Barbeleg";"  ";"Personenfahrt";"15,80";"1,44";;"14,36";;"15,80";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0694";"21.05.2025 21:32";"Pinpad-Zahlung";"Pinpad MasterCard 159079";"Personenfahrt";"35,00";"2,95";;"29,45";"2,60";"35,00";;;"SIGNIERT Exportiert ";""
"4517 ";" 0695";"22.05.2025 11:50";"Barbeleg";"  ";"Personenfahrt";"21,80";"1,98";;"19,82";;"21,80";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0696";"22.05.2025 12:43";"Barbeleg";"  ";"Personenfahrt";"7,50";"0,68";;"6,82";;"7,50";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0697";"22.05.2025 12:58";"Barbeleg";"  ";"Personenfahrt";"9,20";"0,84";;"8,36";;"9,20";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0698";"22.05.2025 16:52";"Barbeleg";"  ";"Personenfahrt";"20,70";"1,88";;"18,82";;"20,70";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0699";"22.05.2025 17:16";"Barbeleg";"  ";"Personenfahrt";"8,90";"0,81";;"8,09";;"8,90";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0700";"22.05.2025 18:09";"Barbeleg";"  ";"Personenfahrt";"27,90";"2,54";;"25,36";;"27,90";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0701";"22.05.2025 18:39";"Barbeleg";"  ";"Personenfahrt";"10,40";"0,95";;"9,45";;"10,40";;;"SIGNIERT Gespeichert ";""
"4517 ";" 0702";"22.05.2025 19:55";"Barbeleg";"  ";"Personenfahrt";"16,10";"1,46";;"14,64";;"16,10";;;"SIGNIERT Gespeichert ";""
